,cluster,term,color,word2vec_aggregate_centrality,word2vec_centrality,word2vec_in_cluster_centrality,x,y,area,freq,rel_freq,aagr,axis_year,spec,acceleration,acceleration_direction,freq_rank,aagr_rank,agg_rank,label,cluster_name,year
0,9,information,#FFE119,0.6045010983943939,0.5538137331604958,0.6551884561777115,9.988555908203125,0.8329805731773376,computer vision,207521.0,0.044,0.0,2018.0,0.0,0,0,367.0,184.0,551.0,INFORMATION,USER EXPERIENCE,2018
1,0,globe_newswire,#800000,0.5549239255487919,0.5238471254706383,0.5860007256269455,8.053614616394043,5.638222694396973,computer vision,166794.0,0.035,0.0,2018.0,-0.098,0,0,366.0,184.0,550.0,GLOBE NEWSWIRE,MYRIAD X,2018
2,1,time,#E6194B,0.5124251078814268,0.5162412468343973,0.5086089689284563,10.284350395202637,3.0769827365875244,computer vision,144109.0,0.031,0.0,2018.0,0.0,0,0,365.0,184.0,549.0,TIME,MICROSOFT CUSTOM VISION SERVICE,2018
3,9,news,#FFE119,0.5934576392173767,0.5375388190150261,0.6493764519691467,9.730167388916016,0.47403836250305176,computer vision,84214.0,0.018,0.0,2018.0,0.0,0,0,364.0,184.0,548.0,NEWS,USER EXPERIENCE,2018
4,9,product,#FFE119,0.6062593311071396,0.5598377659916878,0.652680903673172,9.807147979736328,0.5040703415870667,computer vision,77711.0,0.016,0.0,2018.0,0.0,0,0,363.0,184.0,547.0,PRODUCT,USER EXPERIENCE,2018
5,9,mobile_device,#FFE119,0.6257989257574081,0.571186400949955,0.6804114431142807,10.832517623901367,0.5863634347915649,computer vision,75817.0,0.016,0.0,2018.0,0.684,0,0,362.0,184.0,546.0,MOBILE DEVICE,USER EXPERIENCE,2018
6,4,real_world,#3CB44B,0.6680120080709457,0.5978564247488976,0.7381675839424133,9.908738136291504,0.9004775881767273,computer vision,63681.0,0.013,0.0,2018.0,0.563,0,0,361.0,184.0,545.0,REAL WORLD,AUTONOMOUS VEHICLE,2018
7,9,next_step,#FFE119,0.6279497146606445,0.5780587121844292,0.6778407245874405,9.790567398071289,0.7253624796867371,computer vision,54417.0,0.012,0.0,2018.0,0.087,0,0,360.0,184.0,544.0,NEXT STEP,USER EXPERIENCE,2018
8,4,robot,#3CB44B,0.6455477476119995,0.5777668207883835,0.7133286595344543,12.145021438598633,0.7052522301673889,computer vision,50739.0,0.011,0.0,2018.0,0.0,0,0,359.0,184.0,543.0,ROBOT,AUTONOMOUS VEHICLE,2018
9,6,artificial_intelligence,#4363D8,0.6327130794525146,0.5745595693588257,0.6908665895462036,8.740803718566895,4.654738903045654,computer vision,47781.0,0.01,0.0,2018.0,1.098,0,0,358.0,184.0,542.0,ARTIFICIAL INTELLIGENCE,CHALLENGING TASK,2018
10,6,machine_learning,#4363D8,0.6385579407215118,0.5766796618700027,0.7004362195730209,9.003843307495117,4.861949443817139,computer vision,45107.0,0.01,0.0,2018.0,1.283,0,0,357.0,184.0,541.0,MACHINE LEARNING,CHALLENGING TASK,2018
11,6,large_amount,#4363D8,0.6312744319438934,0.5783040300011635,0.6842448264360428,9.519826889038086,4.731966972351074,computer vision,40157.0,0.009,0.0,2018.0,0.219,0,0,356.0,184.0,540.0,LARGE AMOUNT,CHALLENGING TASK,2018
12,3,video,#BFEF45,0.55437371134758,0.5567188747227192,0.552028551697731,10.458829879760742,1.4483942985534668,computer vision,40035.0,0.008,0.0,2018.0,0.0,0,0,355.0,184.0,539.0,VIDEO,"1,000 CATEGORY",2018
13,6,research_team,#4363D8,0.6111059561371803,0.565862238407135,0.6563496738672256,8.96848201751709,1.6850723028182983,computer vision,38879.0,0.008,0.0,2018.0,0.233,0,0,354.0,184.0,538.0,RESEARCH TEAM,CHALLENGING TASK,2018
14,7,training_time,#911EB4,0.703204482793808,0.5830874368548393,0.823321521282196,11.358989715576172,5.28849458694458,computer vision,37599.0,0.008,0.0,2018.0,0.248,0,0,353.0,184.0,537.0,TRAINING TIME,SEMANTIC SEGMENTATION,2018
15,0,key_player,#800000,0.5866176038980484,0.5576675571501255,0.6155676543712616,8.603663444519043,3.99861478805542,computer vision,35294.0,0.007,0.0,2018.0,0.275,0,0,352.0,184.0,536.0,KEY PLAYER,MYRIAD X,2018
16,6,data,#4363D8,0.6364932060241699,0.5752439424395561,0.6977424770593643,8.681793212890625,4.549883842468262,computer vision,32868.0,0.007,0.0,2018.0,0.0,0,0,351.0,184.0,535.0,DATA,CHALLENGING TASK,2018
17,3,paper,#BFEF45,0.5583494454622269,0.5478440411388874,0.568854846060276,8.738607406616211,1.8977693319320679,computer vision,28281.0,0.006,0.0,2018.0,0.0,0,0,350.0,184.0,534.0,PAPER,"1,000 CATEGORY",2018
18,5,system,#42D4F4,0.6316699385643005,0.5903013125061989,0.6730385720729828,10.802851676940918,3.97668194770813,computer vision,23497.0,0.005,0.0,2018.0,0.0,0,0,349.0,184.0,533.0,SYSTEM,ADDITIONAL HARDWARE,2018
19,9,android_app,#FFE119,0.6275868117809296,0.5585606135427952,0.696612998843193,10.73851490020752,0.7904564738273621,computer vision,22805.0,0.005,0.0,2018.0,0.641,0,0,348.0,184.0,532.0,ANDROID APP,USER EXPERIENCE,2018
20,9,late_version,#FFE119,0.6244860142469406,0.5507871732115746,0.6981848627328873,10.47921371459961,0.7583034634590149,computer vision,21728.0,0.005,0.0,2018.0,0.486,0,0,347.0,184.0,531.0,LATE VERSION,USER EXPERIENCE,2018
21,9,blog_post,#FFE119,0.6251593828201294,0.5473268330097198,0.7029919475317001,10.165482521057129,0.37732696533203125,computer vision,21280.0,0.005,0.0,2018.0,1.194,0,0,346.0,184.0,530.0,BLOG POST,USER EXPERIENCE,2018
22,6,wide_variety,#4363D8,0.634787917137146,0.5885238349437714,0.6810520142316818,9.053171157836914,4.075641632080078,computer vision,20735.0,0.004,0.0,2018.0,0.904,0,0,345.0,184.0,529.0,WIDE VARIETY,CHALLENGING TASK,2018
23,5,low_cost,#42D4F4,0.6031731516122818,0.5601938478648663,0.646152451634407,11.318038940429688,3.9568474292755127,computer vision,19734.0,0.004,0.0,2018.0,1.072,0,0,344.0,184.0,528.0,LOW COST,ADDITIONAL HARDWARE,2018
24,6,recent_study,#4363D8,0.6088870167732239,0.5651747807860374,0.6525992602109909,8.888665199279785,1.790640115737915,computer vision,19236.0,0.004,0.0,2018.0,0.539,0,0,343.0,184.0,527.0,RECENT STUDY,CHALLENGING TASK,2018
25,7,ai_algorithm,#911EB4,0.6763696372509003,0.5943351313471794,0.7584041357040405,9.22326374053955,4.974113464355469,computer vision,19075.0,0.004,0.0,2018.0,0.543,0,0,342.0,184.0,526.0,AI ALGORITHM,SEMANTIC SEGMENTATION,2018
26,6,deep_understanding,#4363D8,0.649348646402359,0.5770361423492432,0.7216611355543137,9.238365173339844,4.268085479736328,computer vision,18951.0,0.004,0.0,2018.0,0.545,0,0,341.0,184.0,525.0,DEEP UNDERSTANDING,CHALLENGING TASK,2018
27,9,little_bit,#FFE119,0.6083632409572601,0.5673615410923958,0.6493649482727051,9.422845840454102,0.5923230051994324,computer vision,18369.0,0.004,0.0,2018.0,0.559,0,0,340.0,184.0,524.0,LITTLE BIT,USER EXPERIENCE,2018
28,6,type,#4363D8,0.6346790641546249,0.5745940580964088,0.6947640776634216,9.51472282409668,4.706297397613525,computer vision,17949.0,0.004,0.0,2018.0,0.0,0,0,339.0,184.0,523.0,TYPE,CHALLENGING TASK,2018
29,6,broad_range,#4363D8,0.6219164952635765,0.570573553442955,0.673259437084198,8.810720443725586,4.083221435546875,computer vision,17475.0,0.004,0.0,2018.0,1.125,0,0,338.0,184.0,522.0,BROAD RANGE,CHALLENGING TASK,2018
30,0,market_growth,#800000,0.5902407690882683,0.5573238246142864,0.6231577098369598,8.250642776489258,3.8249704837799072,computer vision,17472.0,0.004,0.0,2018.0,0.757,0,0,337.0,184.0,521.0,MARKET GROWTH,MYRIAD X,2018
31,4,autonomous_vehicle,#3CB44B,0.6801894754171371,0.5831280127167702,0.7772509455680847,8.918431282043457,6.950494289398193,computer vision,16781.0,0.004,0.0,2018.0,1.443,0,0,336.0,184.0,520.0,AUTONOMOUS VEHICLE,AUTONOMOUS VEHICLE,2018
32,4,virtual_reality,#3CB44B,0.640259250998497,0.571749784052372,0.7087687253952026,10.358528137207031,0.8816287517547607,computer vision,16521.0,0.003,0.0,2018.0,1.082,0,0,335.0,184.0,519.0,VIRTUAL REALITY,AUTONOMOUS VEHICLE,2018
33,6,computational_model,#4363D8,0.6340427249670029,0.5676272884011269,0.7004581540822983,9.722192764282227,5.099675178527832,computer vision,16278.0,0.003,0.0,2018.0,0.787,0,0,334.0,184.0,518.0,COMPUTATIONAL MODEL,CHALLENGING TASK,2018
